Date,Volume
2007-01-03,94807600
2007-01-04,69620600
2007-01-05,76645300
2007-01-08,71655000
2007-01-09,75680100
2007-01-10,72428000
2007-01-11,54476800
2007-01-12,55370600
2007-01-16,44871300
2007-01-17,50241400
2007-01-18,68177300
2007-01-19,56973000
2007-01-22,60253600
2007-01-23,54064400
2007-01-24,55834700
2007-01-25,73583800
2007-01-26,67255600
2007-01-29,66114600
2007-01-30,70407600
2007-01-31,91868600
2007-02-01,69312400
2007-02-02,49607000
2007-02-05,45705300
2007-02-06,57081300
2007-02-07,55669700
2007-02-08,70641000
2007-02-09,79084400
2007-02-12,65657000
2007-02-13,64081800
2007-02-14,66039400
2007-02-15,38715200
2007-02-16,39841800
2007-02-20,56911800
2007-02-21,63971600
2007-02-22,79067400
2007-02-23,71966200
2007-02-26,69192800
2007-02-27,274466500
2007-02-28,177536300
2007-03-01,212828600
2007-03-02,162574000
2007-03-05,143750400
2007-03-06,143333300
2007-03-07,115144900
2007-03-08,117891600
2007-03-09,107765100
2007-03-12,80366900
2007-03-13,190605200
2007-03-14,231853800
2007-03-15,132435900
2007-03-16,121531600
2007-03-19,96161200
2007-03-20,82147400
2007-03-21,152368700
2007-03-22,118942200
2007-03-23,74416800
2007-03-26,113787500
2007-03-27,99864600
2007-03-28,152907900
2007-03-29,139432700
2007-03-30,128194100
2007-04-02,79416400
2007-04-03,82417800
2007-04-04,63995200
2007-04-05,46822800
2007-04-09,50967400
2007-04-10,56620000
2007-04-11,106365700
2007-04-12,115534400
2007-04-13,84287000
2007-04-16,83064600
2007-04-17,108424100
2007-04-18,88345300
2007-04-19,102947700
2007-04-20,124114100
2007-04-23,77270800
2007-04-24,114471000
2007-04-25,108418800
2007-04-26,88741600
2007-04-27,108191100
2007-04-30,100874100
2007-05-01,134342700
2007-05-02,87129800
2007-05-03,86569700
2007-05-04,96409000
2007-05-07,63461400
2007-05-08,80584000
2007-05-09,102070100
2007-05-10,153617800
2007-05-11,113408900
2007-05-14,108027500
2007-05-15,180673300
2007-05-16,114166500
2007-05-17,101132800
2007-05-18,99182000
2007-05-21,174664600
2007-05-22,82148800
2007-05-23,133786600
2007-05-24,187593000
2007-05-25,83309200
2007-05-29,82020000
2007-05-30,129013600
2007-05-31,114866700
2007-06-01,107771700
2007-06-04,78008800
2007-06-05,126917900
2007-06-06,164096800
2007-06-07,232414600
2007-06-08,175886000
2007-06-11,102015600
2007-06-12,233898000
2007-06-13,193208200
2007-06-14,146396500
2007-06-15,154030800
2007-06-18,88537500
2007-06-19,110851700
2007-06-20,177119700
2007-06-21,205262000
2007-06-22,204964700
2007-06-25,232014400
2007-06-26,198445700
2007-06-27,213638000
2007-06-28,157705000
2007-06-29,199701800
2007-07-02,103357000
2007-07-03,54048400
2007-07-05,89279000
2007-07-06,81109000
2007-07-09,72348100
2007-07-10,180362600
2007-07-11,175607600
2007-07-12,133882500
2007-07-13,111794300
2007-07-16,98378700
2007-07-17,126201300
2007-07-18,237887400
2007-07-19,145212700
2007-07-20,245502500
2007-07-23,121183900
2007-07-24,256732400
2007-07-25,265214500
2007-07-26,467592500
2007-07-27,422987600
2007-07-30,283017500
2007-07-31,316976700
2007-08-01,467670000
2007-08-02,294758400
2007-08-03,359398200
2007-08-06,324980000
2007-08-07,232568700
2007-08-08,274930600
2007-08-09,357622100
2007-08-10,411018400
2007-08-13,181917200
2007-08-14,264134500
2007-08-15,323834000
2007-08-16,546743700
2007-08-17,388218100
2007-08-20,187320400
2007-08-21,157066400
2007-08-22,173156700
2007-08-23,203915300
2007-08-24,128901900
2007-08-27,113024300
2007-08-28,219790700
2007-08-29,207654200
2007-08-30,191817300
2007-08-31,185477500
2007-09-04,120062000
2007-09-05,166261800
2007-09-06,127878400
2007-09-07,235447600
2007-09-10,192305900
2007-09-11,162081900
2007-09-12,149554600
2007-09-13,154079000
2007-09-14,121911000
2007-09-17,109870800
2007-09-18,263759500
2007-09-19,193779900
2007-09-20,175186800
2007-09-21,141457500
2007-09-24,139450200
2007-09-25,142289900
2007-09-26,135547000
2007-09-27,102713300
2007-09-28,133372100
2007-10-01,148162300
2007-10-02,112978800
2007-10-03,119055900
2007-10-04,76864400
2007-10-05,134579700
2007-10-08,71280400
2007-10-09,94054300
2007-10-10,101711100
2007-10-11,233529100
2007-10-12,124546700
2007-10-15,161151900
2007-10-16,166525700
2007-10-17,216687300
2007-10-18,148367500
2007-10-19,297169900
2007-10-22,261989800
2007-10-23,180085100
2007-10-24,326694200
2007-10-25,237374500
2007-10-26,176484000
2007-10-29,106841000
2007-10-30,132981600
2007-10-31,220954400
2007-11-01,333040800
2007-11-02,331228200
2007-11-05,226841000
2007-11-06,177800500
2007-11-07,306639700
2007-11-08,374509900
2007-11-09,277745100
2007-11-12,243087800
2007-11-13,191117400
2007-11-14,230558800
2007-11-15,263111100
2007-11-16,308770600
2007-11-19,267746000
2007-11-20,414767500
2007-11-21,259012400
2007-11-23,77688400
2007-11-26,214232000
2007-11-27,293897900
2007-11-28,258596900
2007-11-29,199409900
2007-11-30,222908000
2007-12-03,146430400
2007-12-04,136533900
2007-12-05,171130000
2007-12-06,154457400
2007-12-07,148980100
2007-12-10,123914300
2007-12-11,250346400
2007-12-12,322435600
2007-12-13,237551300
2007-12-14,159152900
2007-12-17,177269400
2007-12-18,245569300
2007-12-19,198917200
2007-12-20,214813800
2007-12-21,146084400
2007-12-24,45601400
2007-12-26,67093100
2007-12-27,122981700
2007-12-28,116398100
2007-12-31,108126800
2008-01-02,204935600
2008-01-03,125133300
2008-01-04,232330900
2008-01-07,234991000
2008-01-08,326365700
2008-01-09,301824900
2008-01-10,335701200
2008-01-11,267076600
2008-01-14,170365500
2008-01-15,239940100
2008-01-16,378802600
2008-01-17,397892600
2008-01-18,348561500
2008-01-22,435923700
2008-01-23,511913000
