,SARIMAX
2007-05-23,HEALTH_CARE
2007-11-20,FINANCIALS
2008-05-22,CONSUMER_DISCRETIONARY
2008-11-19,FINANCIALS
2009-05-22,FINANCIALS
2009-11-19,INFORMATION_TECHNOLOGY
2010-05-24,INDUSTRIALS
2010-11-19,FINANCIALS
2011-05-23,INFORMATION_TECHNOLOGY
2011-11-18,FINANCIALS
2012-05-22,ENERGY
2012-11-21,MATERIALS
2013-05-24,CONSUMER_DISCRETIONARY
2013-11-21,FINANCIALS
2014-05-27,HEALTH_CARE
2014-11-21,UTILITIES
2015-05-27,UTILITIES
2015-11-23,ENERGY
2016-05-25,UTILITIES
2016-11-22,UTILITIES
2017-05-25,ENERGY
2017-11-22,INDUSTRIALS
2018-05-25,INFORMATION_TECHNOLOGY
2018-11-23,ENERGY
2019-05-29,REAL_ESTATE
2019-11-25,REAL_ESTATE
2020-05-28,ENERGY
2020-11-24,ENERGY
2021-05-27,INFORMATION_TECHNOLOGY
2021-11-24,FINANCIALS
2022-05-26,CONSUMER_DISCRETIONARY
2022-11-25,INFORMATION_TECHNOLOGY
2023-05-30,ENERGY
