,DIS,processed_text,bert_sentiment
2022-10-06 16:25:00,JAKKS Pacific: Toy Company On The Mend; Watch Upcoming Q3,jakks pacific toy company mend watch upcoming,Positive
2022-10-06 17:06:00,Disney: Sanderson Sisters Lead The Fourth Quarter,disney sanderson sisters lead fourth quarter,Positive
2022-10-06 23:25:00,JAKKS Pacific: Relative Undervaluation Makes It A Buy,jakks pacific relative undervaluation makes buy,Neutral
2022-10-06 23:41:09,ESPN Nears Large New Partnership With DraftKings,espn nears large new partnership draftkings,Positive
2022-10-06 23:57:00,DraftKings Shares Gain 8% After Report of Possible ESPN Partnership,draftkings shares gain report possible espn partnership,Negative
2022-10-07 00:12:00,DraftKings stock jumps on report of partnership with ESPN,draftkings stock jumps report partnership espn,Positive
2022-10-07 00:16:00,Disney's ESPN nears large partnership deal with DraftKings - Bloomberg News,disney espn nears large partnership deal draftkings bloomberg news,Positive
2022-10-07 12:47:03,"Stocks making the biggest moves premarket: AMD, Levi Strauss, DraftKings and more",stocks making biggest moves premarket amd levi strauss draftkings,Positive
2022-10-07 14:23:00,Warner Bros. Discovery: A Hidden Gem,warner bros discovery hidden gem,Positive
2022-10-07 15:12:00,DraftKings Shares Jump After ESPN Partnership Reports,draftkings shares jump espn partnership reports,Negative
2022-10-09 07:40:21,"‘Amsterdam’ and ‘Lyle Lyle’ struggle, letting ‘Smile’ repeat",amsterdam lyle lyle struggle letting smile repeat,Positive
2022-10-10 13:55:00,Could DraftKings utilize a ESPN partnership to expand internationally?,could draftkings utilize espn partnership expand internationally,Negative
2022-10-10 18:06:00,Warner Bros. Discovery Is A Great Contrarian Investment For Long-Term Investors,warner bros discovery great contrarian investment longterm investors,Positive
2022-10-11 07:09:00,Wide-Moat Stocks On Sale - The October 2022 Heat Map,widemoat stocks sale october heat map,Positive
2022-10-11 13:00:00,SCHV: Value Style Mitigates Risks In 2022,schv value style mitigates risks,Neutral
2022-10-11 15:03:00,Netflix: Advertising Holy Grail,netflix advertising holy grail,Positive
2022-10-11 17:18:00,Netflix: Shrewd Spending Will Weather The Storm,netflix shrewd spending weather storm,Negative
2022-10-11 18:34:05,Heiress and shareholder Abigail Disney on how to bring magic back to capitalism,heiress shareholder abigail disney bring magic back capitalism,Positive
2022-10-11 22:14:00,Communications Services Up on Fed Fears -- Communications Services Roundup,communications services fed fears communications services roundup,Positive
2022-10-11 23:19:00,"Disney delays 'Blade,' other Marvel films in shuffle",disney delays blade marvel films shuffle,Neutral
2022-10-12 12:20:00,Wall Street Breakfast: Britannia Blunder,wall street breakfast britannia blunder,Positive
2022-10-12 18:44:00,Unusual Large-Cap Insider Activity,unusual largecap insider activity,Positive
2022-10-12 23:56:06,Netflix sets $7 monthly price for its ad-supported service,netflix sets monthly price adsupported service,Positive
2022-10-13 12:30:00,Roku's Latest Move Only Raises More Questions About Company's Future,roku latest move raises questions company future,Positive
2022-10-13 21:00:00,Netflix ad-supported plan to launch in November at $7 a month,netflix adsupported plan launch november month,Negative
2022-10-14 15:00:00,GE - Can The Spin Offs Save It? Plus Special Guest Eric Basmajian,ge spin offs save plus special guest eric basmajian,Positive
2022-10-14 16:15:00,Netflix's Clever Price Framing Will Ring The Register On Ad-Supported Plan,netflix clever price framing ring register adsupported plan,Positive
2022-10-14 21:17:00,Netflix: Does The Reward Outweigh The Risk?,netflix reward outweigh risk,Neutral
2022-10-14 22:56:00,Disney: Hedge Fund Distraction,disney hedge fund distraction,Negative
2022-10-15 02:26:00,"Rupert Murdoch considers combining Fox, News Corp",rupert murdoch considers combining fox news corp,Positive
2022-10-15 15:00:43,This family owns a ‘princess cottage’ in Disney World’s gated community—where homes sell for $12 million: Take a look inside,family owns princess cottage disney worlds gated communitywhere homes sell million take look inside,Positive
2022-10-16 12:30:00,"Tesla investors try to look past Elon Musk’s many, many distractions",tesla investors try look past elon musks many many distractions,Neutral
2022-10-16 14:30:00,"Netflix and Tesla stocks are not having a good year, but here comes a chance to turn it around",netflix tesla stocks good year comes chance turn around,Neutral
2022-10-16 15:03:00,Netflix's 'Cobra Kai' kicks over streaming-show rivals,netflix cobra kai kicks streamingshow rivals,Negative
2022-10-16 15:45:00,Why Funko Is An Underappreciated GARP Opportunity,funko underappreciated garp opportunity,Negative
2022-10-17 12:59:00,Comcast's 'Halloween' Streaming Experiment: The Sequel,comcast halloween streaming experiment sequel,Positive
2022-10-17 13:16:00,Netflix: Time To Be Bullish,netflix time bullish,Negative
2022-10-17 15:31:00,"Fox Shares Slide, News Corp Shares Gain on Possible Merger",fox shares slide news corp shares gain possible merger,Positive
2022-10-17 15:59:00,Disney Is Better Than Netflix,disney better netflix,Positive
2022-10-17 20:30:00,Rupert Murdoch’s odd reunion simplifies succession,rupert murdochs odd reunion simplifies succession,Positive
2022-10-17 20:59:00,"U.S. Speaker Pelosi's husband sold Nvidia, Micron options at a loss",us speaker pelosi husband sold nvidia micron options loss,Negative
2022-10-17 22:52:06,Netflix rebounds from recent subscriber losses with 3Q gain,netflix rebounds recent subscriber losses gain,Positive
2022-10-17 23:52:00,The Joint Corp. Can Relieve You From High Inflation Pain,joint corp relieve high inflation pain,Positive
2022-10-18 13:09:00,Google: The Pelosis Could Be Right,google pelosis could right,Neutral
2022-10-18 16:45:00,Why I Would Overweight The Walt Disney Stock In An Investment Portfolio,would overweight walt disney stock investment portfolio,Negative
2022-10-18 16:54:00,A CEF Earning Its Distribution: ETO,cef earning distribution eto,Positive
2022-10-18 21:07:00,Netflix CEO says ‘thank God we’re done with shrinking quarters’ after first growth of 2022 sends stock soaring,netflix ceo says thank god done shrinking quarters first growth sends stock soaring,Positive
2022-10-18 22:02:00,Netflix will crack down on password sharing next year — here’s how it will work,netflix crack password sharing next year heres work,Positive
2022-10-19 00:28:00,"Netflix reverses subscriber slump, shares surge 14%",netflix reverses subscriber slump shares surge,Negative
2022-10-19 10:27:00,Netflix: Still A Growth Company,netflix still growth company,Positive
2022-10-19 10:30:00,Nasdaq futures bolstered by Netflix's subscriber turnaround,nasdaq futures bolstered netflix subscriber turnaround,Negative
2022-10-19 12:15:00,Wall Street Breakfast: Crude Price Action,wall street breakfast crude price action,Positive
2022-10-19 12:22:00,Disney: Netflix Earnings Show Promise For Disney+,disney netflix earnings show promise disney,Positive
2022-10-19 13:09:00,Disney stock jumps to lead the Dow's gainers in wake of Netflix rally,disney stock jumps lead dow gainers wake netflix rally,Positive
2022-10-19 15:57:00,Warner Bros. Discovery: After The Bloodbath Accounting - All Eyes On Q3,warner bros discovery bloodbath accounting eyes,Negative
2022-10-19 19:13:00,A Real Business! Netflix Grows Up,real business netflix grows,Positive
2022-10-19 21:49:00,Communications Services Outpace Market After Netflix Earnings -- Communications Services Roundup,communications services outpace market netflix earnings communications services roundup,Negative
2022-10-20 04:30:00,Netflix Has Opportunities During These Difficult Times,netflix opportunities difficult times,Positive
2022-10-20 11:20:00,Multiple Catalysts For Broader Recognition Of Nintendo's Intellectual Property Wealth,multiple catalysts broader recognition nintendo intellectual property wealth,Positive
2022-10-21 16:34:14,Disney launches web3 experience to celebrate 100 years of Disney music,disney launches web experience celebrate years disney music,Positive
2022-10-22 00:32:56,DC's 'Black Adam' pursues movies' biggest opening in months,dc black adam pursues movies biggest opening months,Positive
2022-10-22 21:56:47,ESPN and F1 announce new US broadcast deal through 2025,espn announce new us broadcast deal,Positive
2022-10-23 04:05:55,"With a rate of $1,733 per night, this Orlando resort is the most expensive U.S. luxury hotel",rate per night orlando resort expensive us luxury hotel,Positive
2022-10-23 18:22:09,"Broadcast gets a sports bump, but streaming still holds TV usage crown",broadcast gets sports bump streaming still holds tv usage crown,Positive
2022-10-24 19:04:01,"ESPN, Formula One set broadcasts through 2025",espn formula one set broadcasts,Positive
2022-10-24 19:48:30,Apple Music and Apple TV+ prices are going up. Here’s how much you’ll soon pay for streaming.,apple music apple tv prices going heres much youll soon pay streaming,Positive
2022-10-24 21:10:13,October surprise? Stocks continue to sizzle this month,october surprise stocks continue sizzle month,Negative
2022-10-25 17:30:49,"Walmart, Disney among top 12 employers that laid off thousands during the pandemic, House inquiry finds",walmart disney among top employers laid thousands pandemic house inquiry finds,Positive
2022-10-25 17:56:45,Disney+ becomes the international home for new seasons of ‘Doctor Who’,disney becomes international home new seasons doctor,Positive
2022-10-25 19:04:58,"Apple TV+ price increase is another sign company is ‘building the next HBO,’ says analyst",apple tv price increase another sign company building next hbo says analyst,Positive
2022-10-25 19:21:54,Fall Is the New Summer for Vacations,fall new summer vacations,Positive
2022-10-25 20:04:38,"Streaming Is Slimming, Paramount Is Swimming: What Recent Media Downgrades Are Missing",streaming slimming paramount swimming recent media downgrades missing,Negative
2022-10-25 23:23:20,"James Gunn, Peter Safran named new heads of Warner Bros.' DC studios",james gunn peter safran named new heads warner bros dc studios,Positive
2022-10-26 09:20:28,Temasek Investment Firm Injects S$150 Million in Entertainment Provider Cityneon,temasek investment firm injects million entertainment provider cityneon,Positive
2022-10-26 22:29:03,"KeyBanc dims view of media stocks, with ads and economy feeding downturn",keybanc dims view media stocks ads economy feeding downturn,Negative
2022-10-26 23:52:36,Disney CEO Bob Chapek Wants to Customize Fan Experiences,disney ceo bob chapek wants customize fan experiences,Positive
2022-10-27 00:50:14,Disney wants to use your viewing history to personalize your park experience,disney wants use viewing history personalize park experience,Positive
2022-10-27 22:25:58,Market Revokes Zuckerberg Tech-Genius Title: Fixing Meta Not Rocket Science,market revokes zuckerberg techgenius title fixing meta rocket science,Negative
2022-10-27 22:48:40,Is Apple A Buy After FQ4 2022 Earnings? Keep Your Eyes On Services,apple buy fq earnings keep eyes services,Negative
2022-10-29 01:16:27,'Black Adam' likely to hold serve at box office over 'Prey for the Devil',black adam likely hold serve box office prey devil,Neutral
2022-10-29 11:21:36,The Happy Meal inventor says McDonald’s didn’t want it at first,happy meal inventor says mcdonalds didnt want first,Positive
