,DIS,chatgpt_sentiment
2022-10-06 16:25:00,JAKKS Pacific: Toy Company On The Mend; Watch Upcoming Q3,Neutral
2022-10-06 17:06:00,Disney: Sanderson Sisters Lead The Fourth Quarter,Neutral
2022-10-06 23:25:00,JAKKS Pacific: Relative Undervaluation Makes It A Buy,Positive
2022-10-06 23:41:09,ESPN Nears Large New Partnership With DraftKings,Neutral
2022-10-06 23:57:00,DraftKings Shares Gain 8% After Report of Possible ESPN Partnership,Positive
2022-10-07 00:12:00,DraftKings stock jumps on report of partnership with ESPN,Positive
2022-10-07 00:16:00,Disney's ESPN nears large partnership deal with DraftKings - Bloomberg News,Neutral
2022-10-07 12:47:03,"Stocks making the biggest moves premarket: AMD, Levi Strauss, DraftKings and more",Neutral
2022-10-07 14:23:00,Warner Bros. Discovery: A Hidden Gem,Positive
2022-10-07 15:12:00,DraftKings Shares Jump After ESPN Partnership Reports,Positive
2022-10-09 07:40:21,"‘Amsterdam’ and ‘Lyle Lyle’ struggle, letting ‘Smile’ repeat",Neutral
2022-10-10 13:55:00,Could DraftKings utilize a ESPN partnership to expand internationally?,Neutral
2022-10-10 18:06:00,Warner Bros. Discovery Is A Great Contrarian Investment For Long-Term Investors,Positive
2022-10-11 07:09:00,Wide-Moat Stocks On Sale - The October 2022 Heat Map,Neutral
2022-10-11 13:00:00,SCHV: Value Style Mitigates Risks In 2022,Neutral
2022-10-11 15:03:00,Netflix: Advertising Holy Grail,Neutral
2022-10-11 17:18:00,Netflix: Shrewd Spending Will Weather The Storm,Positive
2022-10-11 18:34:05,Heiress and shareholder Abigail Disney on how to bring magic back to capitalism,Neutral
2022-10-11 22:14:00,Communications Services Up on Fed Fears -- Communications Services Roundup,Neutral
2022-10-11 23:19:00,"Disney delays 'Blade,' other Marvel films in shuffle",Neutral
2022-10-12 12:20:00,Wall Street Breakfast: Britannia Blunder,Neutral
2022-10-12 18:44:00,Unusual Large-Cap Insider Activity,Neutral
2022-10-12 23:56:06,Netflix sets $7 monthly price for its ad-supported service,Neutral
2022-10-13 12:30:00,Roku's Latest Move Only Raises More Questions About Company's Future,Neutral
2022-10-13 21:00:00,Netflix ad-supported plan to launch in November at $7 a month,Neutral
2022-10-14 15:00:00,GE - Can The Spin Offs Save It? Plus Special Guest Eric Basmajian,Neutral
2022-10-14 16:15:00,Netflix's Clever Price Framing Will Ring The Register On Ad-Supported Plan,Positive
2022-10-14 21:17:00,Netflix: Does The Reward Outweigh The Risk?,Neutral
2022-10-14 22:56:00,Disney: Hedge Fund Distraction,Neutral
2022-10-15 02:26:00,"Rupert Murdoch considers combining Fox, News Corp",Neutral
2022-10-15 15:00:43,This family owns a ‘princess cottage’ in Disney World’s gated community—where homes sell for $12 million: Take a look inside,Positive
2022-10-16 12:30:00,"Tesla investors try to look past Elon Musk’s many, many distractions",Neutral
2022-10-16 14:30:00,"Netflix and Tesla stocks are not having a good year, but here comes a chance to turn it around",Neutral
2022-10-16 15:03:00,Netflix's 'Cobra Kai' kicks over streaming-show rivals,Positive
2022-10-16 15:45:00,Why Funko Is An Underappreciated GARP Opportunity,Neutral
2022-10-17 12:59:00,Comcast's 'Halloween' Streaming Experiment: The Sequel,Neutral
2022-10-17 13:16:00,Netflix: Time To Be Bullish,Positive
2022-10-17 15:31:00,"Fox Shares Slide, News Corp Shares Gain on Possible Merger",Neutral
2022-10-17 15:59:00,Disney Is Better Than Netflix,Neutral
2022-10-17 20:30:00,Rupert Murdoch’s odd reunion simplifies succession,Neutral
2022-10-17 20:59:00,"U.S. Speaker Pelosi's husband sold Nvidia, Micron options at a loss",Negative
2022-10-17 22:52:06,Netflix rebounds from recent subscriber losses with 3Q gain,Positive
2022-10-17 23:52:00,The Joint Corp. Can Relieve You From High Inflation Pain,Neutral
2022-10-18 13:09:00,Google: The Pelosis Could Be Right,Neutral
2022-10-18 16:45:00,Why I Would Overweight The Walt Disney Stock In An Investment Portfolio,Neutral
